WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LATITUDE,LONGITUDE,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
56753,12,3903,,Ukraine,UKR,48.89,38.096,1,48.931,38.044,Not Reported,8906,4,741.105,4,Secondary,2,17640.312,20400239,151.303,0,0,,3
56754,12,3904,,Ukraine,UKR,48.908,38.455,1,48.952,38.402,Not Reported,67004,4,5575.788,4,Secondary,2,2563.362,20401317,165.361,0,0,,3
56755,12,3905,,Ukraine,UKR,48.913,37.067,1,48.89,37.169,Not Reported,9267,4,771.171,4,Secondary,2,242.777,20401612,2.158,0,0,,3
56756,12,3906,,Ukraine,UKR,48.925,38.519,1,48.856,38.515,Not Reported,47038,4,3914.272,4,Secondary,2,3668.992,20403015,166.175,0,0,,3
56757,12,3907,,Ukraine,UKR,48.93,38.472,1,48.952,38.402,Not Reported,59845,4,4980.022,4,Secondary,2,2869.901,20401317,165.361,0,0,,3
56758,12,3908,,Ukraine,UKR,48.949,28.746,1,48.919,28.652,Not Reported,16258,4,1352.946,4,Secondary,2,2542.973,20401219,39.805,0,0,,3
56759,12,3909,,Ukraine,UKR,48.952,38.328,1,49.023,38.26,Not Reported,30474,4,2535.883,4,Secondary,2,5443.292,20397870,159.734,0,0,,3
56760,12,3910,,Ukraine,UKR,48.977,38.424,1,48.96,38.398,Not Reported,30200,4,2513.085,4,Secondary,2,5685.502,20399717,165.343,0,0,,3
56761,12,3911,,Ukraine,UKR,48.981,38.427,1,48.96,38.398,Not Reported,20006,4,1664.819,4,Secondary,2,8581.892,20399717,165.343,0,0,,3
56762,12,3912,,Ukraine,UKR,48.983,39.013,1,48.985,38.981,Not Reported,7549,4,628.193,4,Secondary,2,2578.177,20399283,18.738,0,0,,3
56763,12,3913,,Ukraine,UKR,48.992,31.035,1,48.973,30.977,Not Reported,28565,4,2377.064,4,Secondary,2,44.69,20399269,1.202,0,0,,3
56764,12,3914,,Ukraine,UKR,49.002,38.364,1,48.969,38.39,Not Reported,35136,4,2923.884,4,Secondary,2,4732.149,20399497,160.108,0,0,,3
56765,12,3915,,Ukraine,UKR,49.004,24.206,1,49.027,24.306,Not Reported,41177,4,3426.535,4,Secondary,2,32.317,20398513,1.242,0,0,,3
56767,12,3917,,Ukraine,UKR,49.008,38.351,1,48.969,38.39,Not Reported,24387,4,2029.42,4,Secondary,2,6817.396,20399497,160.108,0,0,,3
56768,12,3918,,Ukraine,UKR,49.008,26.048,1,49.031,26.148,Not Reported,15123,4,1258.443,4,Secondary,2,14.663,20397956,0.199,0,0,,3
56769,12,3919,,Ukraine,UKR,49.01,26.352,1,48.919,26.373,Not Reported,15745,4,1310.199,4,Secondary,2,84.156,20400659,1.261,0,0,,3
56770,12,3920,,Ukraine,UKR,49.01,24.72,1,49.044,24.815,Not Reported,232406,4,19339.775,4,Secondary,2,739.349,20397846,165.272,0,0,,3
56771,12,3921,,Ukraine,UKR,49.027,27.229,1,48.965,27.244,Not Reported,14380,4,1196.615,4,Secondary,2,33.203,20401711,0.446,0,0,,3
56772,12,3922,,Ukraine,UKR,49.036,32.068,1,49.069,31.99,Not Reported,15783,4,1313.352,4,Secondary,2,383.676,20396832,5.817,0,1,,3
56773,12,3923,,Ukraine,UKR,49.056,26.179,1,49.006,26.215,Not Reported,16987,4,1413.555,4,Secondary,2,759.897,20398518,12.416,0,0,,3
56774,12,3924,,Ukraine,UKR,49.058,23.864,1,49.144,23.923,Not Reported,37983,4,3160.817,4,Secondary,2,68.845,20394707,2.482,0,0,,3
56775,12,3925,,Ukraine,UKR,49.073,27.713,1,49.081,27.773,Not Reported,21104,4,1756.189,4,Secondary,2,99.001,20396477,1.992,0,0,,3
56776,12,3926,,Ukraine,UKR,49.079,24.339,1,49.102,24.44,Not Reported,90808,4,7556.649,4,Secondary,2,25.422,20395804,2.136,0,0,,3
56777,12,3927,,Ukraine,UKR,49.085,33.508,1,49.06,33.565,Not Reported,238427,4,19840.886,4,Secondary,2,,20398184,,1,1,,3
56778,12,3928,,Ukraine,UKR,49.092,29.206,1,49.115,29.21,Not Reported,15552,4,1294.159,4,Secondary,2,161.294,20395709,2.401,0,0,,3
56779,12,3929,,Ukraine,UKR,49.113,25.896,1,49.027,25.94,Not Reported,18892,4,1572.073,4,Secondary,2,41.89,20398167,0.744,0,0,,3
56780,12,3930,,Ukraine,UKR,49.181,26.575,1,49.16,26.573,Not Reported,21265,4,1769.572,4,Secondary,2,144.547,20394939,2.94,0,0,,3
56781,12,3931,,Ukraine,UKR,49.18,28.396,1,49.115,28.331,Not Reported,211674,4,17614.62,4,Secondary,2,165.956,20395918,33.63,0,0,,3
56782,12,3932,,Ukraine,UKR,49.191,31.881,1,49.223,31.902,Not Reported,52980,4,4408.749,4,Secondary,2,170.341,20392706,8.641,0,1,,3
56783,12,3933,,Ukraine,UKR,49.205,25.907,1,49.206,25.927,Not Reported,15369,4,1278.907,4,Secondary,2,55.587,20393448,0.808,0,0,,3
56784,12,3934,,Ukraine,UKR,49.215,38.271,1,49.169,38.194,Not Reported,7436,4,618.78,4,Secondary,2,999.631,20394314,7.152,0,0,,3
56785,12,3935,,Ukraine,UKR,49.219,38.909,1,49.219,38.898,Not Reported,24917,4,2073.522,4,Secondary,2,725.319,20393053,17.383,0,0,,3
56786,12,3936,,Ukraine,UKR,49.22,31.872,1,49.227,31.902,Not Reported,13741,4,1143.485,4,Secondary,2,653.901,20392706,8.641,0,1,,3
56787,12,3937,,Ukraine,UKR,49.238,31.898,1,49.244,31.894,Not Reported,25762,4,2143.834,4,Secondary,2,363.11,20392128,8.985,0,1,,3
56788,12,3938,,Ukraine,UKR,49.256,24.637,1,49.19,24.71,Not Reported,24440,4,2033.827,4,Secondary,2,199.474,20393988,4.672,0,0,,3
56790,12,3940,,Ukraine,UKR,49.328,28.744,1,49.34,28.723,Not Reported,5114,4,425.6,4,Secondary,2,531.662,20389805,2.614,0,0,,3
56791,12,3941,,Ukraine,UKR,49.33,28.737,1,49.34,28.723,Not Reported,9150,4,761.389,4,Secondary,2,297.628,20389805,2.614,0,0,,3
56792,12,3942,,Ukraine,UKR,49.348,23.538,1,49.348,23.56,Not Reported,147384,4,12264.683,4,Secondary,2,17.386,20389461,2.326,0,0,,3
56794,12,3944,,Ukraine,UKR,49.371,40.122,1,49.34,40.027,Not Reported,8153,4,678.487,4,Secondary,2,51.045,20389706,0.393,0,0,,3
56795,12,3945,,Ukraine,UKR,49.389,24.619,1,49.377,24.627,Not Reported,17745,4,1476.633,4,Secondary,2,209.301,20389254,3.56,0,0,,3
56797,12,3947,,Ukraine,UKR,49.414,25.186,1,49.327,25.173,Not Reported,16448,4,1368.731,4,Secondary,2,47.144,20391004,0.731,0,0,,3
56798,12,3948,,Ukraine,UKR,49.423,27.089,1,49.381,27.181,Not Reported,163196,4,13580.443,4,Secondary,2,22.383,20388845,3.361,0,0,,3
56799,12,3949,,Ukraine,UKR,49.439,24.923,1,49.394,24.977,Not Reported,26604,4,2213.854,4,Secondary,2,184.7,20389037,4.707,0,0,,3
56800,12,3950,,Ukraine,UKR,49.456,36.633,1,49.469,36.731,Not Reported,8890,4,739.776,4,Secondary,2,6528.277,20386425,55.888,0,0,,3
56801,12,3951,,Ukraine,UKR,49.458,24.127,1,49.402,24.206,Not Reported,40767,4,3392.48,4,Secondary,2,2121.677,20388733,83.268,0,0,,3
56802,12,3952,,Ukraine,UKR,49.471,25.591,1,49.373,25.61,Not Reported,22290,4,1854.901,4,Secondary,2,320.301,20389472,6.855,0,0,,3
56803,12,3953,,Ukraine,UKR,49.477,29.244,1,49.506,29.26,Not Reported,4461,4,371.194,4,Secondary,2,217.236,20385440,0.929,0,0,,3
56804,12,3954,,Ukraine,UKR,49.484,29.269,1,49.506,29.26,Not Reported,8021,4,667.46,4,Secondary,2,121.255,20385440,0.929,0,0,,3
56805,12,3955,,Ukraine,UKR,49.515,36.615,1,49.481,36.71,Not Reported,16114,4,1340.935,4,Secondary,2,3601.496,20386425,55.88,0,0,,3
56806,12,3956,,Ukraine,UKR,49.528,29.898,1,49.54,29.927,Not Reported,9581,4,797.309,4,Secondary,2,814.709,20385128,7.509,0,0,,3
